,Adverse Event,Age_Grp,Count
3400,Analgesic drug level above therapeutic,18 to 65 years old,0
3401,Analgesic drug level above therapeutic,over 65 years old,0
3402,Substance abuse,Unknown Age,0
3403,Substance abuse,under 1 year old,0
3404,Substance abuse,1 to 13 years old,0
3405,Substance abuse,13 to 18 years old,3
3406,Substance abuse,18 to 40,3
3407,Substance abuse,18 to 65 years old,0
3408,Substance abuse,over 65 years old,0
3409,Anti-cyclic citrullinated peptide antibody positive,Unknown Age,2
3410,Anti-cyclic citrullinated peptide antibody positive,under 1 year old,0
3411,Anti-cyclic citrullinated peptide antibody positive,1 to 13 years old,0
3412,Anti-cyclic citrullinated peptide antibody positive,13 to 18 years old,0
3413,Anti-cyclic citrullinated peptide antibody positive,18 to 40,0
3414,Anti-cyclic citrullinated peptide antibody positive,18 to 65 years old,5
3415,Anti-cyclic citrullinated peptide antibody positive,over 65 years old,0
3416,Arthropathy,Unknown Age,4
3417,Arthropathy,under 1 year old,0
3418,Arthropathy,1 to 13 years old,0
3419,Arthropathy,13 to 18 years old,0
3420,Arthropathy,18 to 40,0
3421,Arthropathy,18 to 65 years old,12
3422,Arthropathy,over 65 years old,1
3423,Autoimmune disorder,Unknown Age,1
3424,Autoimmune disorder,under 1 year old,0
3425,Autoimmune disorder,1 to 13 years old,0
3426,Autoimmune disorder,13 to 18 years old,0
3427,Autoimmune disorder,18 to 40,0
3428,Autoimmune disorder,18 to 65 years old,1
3429,Autoimmune disorder,over 65 years old,0
3430,Blister,Unknown Age,15
3431,Blister,under 1 year old,0
3432,Blister,1 to 13 years old,0
3433,Blister,13 to 18 years old,0
3434,Blister,18 to 40,0
3435,Blister,18 to 65 years old,4
3436,Blister,over 65 years old,1
3437,C-reactive protein,Unknown Age,0
3438,C-reactive protein,under 1 year old,0
3439,C-reactive protein,1 to 13 years old,0
3440,C-reactive protein,13 to 18 years old,0
3441,C-reactive protein,18 to 40,0
3442,C-reactive protein,18 to 65 years old,1
3443,C-reactive protein,over 65 years old,0
3444,Deep vein thrombosis postoperative,Unknown Age,0
3445,Deep vein thrombosis postoperative,under 1 year old,0
3446,Deep vein thrombosis postoperative,1 to 13 years old,0
3447,Deep vein thrombosis postoperative,13 to 18 years old,0
3448,Deep vein thrombosis postoperative,18 to 40,0
3449,Deep vein thrombosis postoperative,18 to 65 years old,1
3450,Deep vein thrombosis postoperative,over 65 years old,0
3451,Duodenal ulcer perforation,Unknown Age,2
3452,Duodenal ulcer perforation,under 1 year old,0
3453,Duodenal ulcer perforation,1 to 13 years old,0
3454,Duodenal ulcer perforation,13 to 18 years old,0
3455,Duodenal ulcer perforation,18 to 40,0
3456,Duodenal ulcer perforation,18 to 65 years old,3
3457,Duodenal ulcer perforation,over 65 years old,0
3458,Folliculitis,Unknown Age,2
3459,Folliculitis,under 1 year old,0
3460,Folliculitis,1 to 13 years old,0
3461,Folliculitis,13 to 18 years old,0
3462,Folliculitis,18 to 40,0
3463,Folliculitis,18 to 65 years old,1
3464,Folliculitis,over 65 years old,0
3465,Gastrointestinal disorder,Unknown Age,4
3466,Gastrointestinal disorder,under 1 year old,0
3467,Gastrointestinal disorder,1 to 13 years old,0
3468,Gastrointestinal disorder,13 to 18 years old,0
3469,Gastrointestinal disorder,18 to 40,4
3470,Gastrointestinal disorder,18 to 65 years old,2
3471,Gastrointestinal disorder,over 65 years old,4
3472,Helicobacter infection,Unknown Age,2
3473,Helicobacter infection,under 1 year old,0
3474,Helicobacter infection,1 to 13 years old,0
3475,Helicobacter infection,13 to 18 years old,0
3476,Helicobacter infection,18 to 40,0
3477,Helicobacter infection,18 to 65 years old,3
3478,Helicobacter infection,over 65 years old,0
3479,Infection,Unknown Age,4
3480,Infection,under 1 year old,1
3481,Infection,1 to 13 years old,0
3482,Infection,13 to 18 years old,0
3483,Infection,18 to 40,0
3484,Infection,18 to 65 years old,1
3485,Infection,over 65 years old,4
3486,Infusion related reaction,Unknown Age,5
3487,Infusion related reaction,under 1 year old,0
3488,Infusion related reaction,1 to 13 years old,0
3489,Infusion related reaction,13 to 18 years old,0
3490,Infusion related reaction,18 to 40,0
3491,Infusion related reaction,18 to 65 years old,11
3492,Infusion related reaction,over 65 years old,3
3493,Irritable bowel syndrome,Unknown Age,3
3494,Irritable bowel syndrome,under 1 year old,0
3495,Irritable bowel syndrome,1 to 13 years old,0
3496,Irritable bowel syndrome,13 to 18 years old,0
3497,Irritable bowel syndrome,18 to 40,0
3498,Irritable bowel syndrome,18 to 65 years old,1
3499,Irritable bowel syndrome,over 65 years old,0
3500,Lower limb fracture,Unknown Age,0
3501,Lower limb fracture,under 1 year old,0
3502,Lower limb fracture,1 to 13 years old,0
3503,Lower limb fracture,13 to 18 years old,0
3504,Lower limb fracture,18 to 40,0
3505,Lower limb fracture,18 to 65 years old,1
3506,Lower limb fracture,over 65 years old,1
3507,Muscle injury,Unknown Age,2
3508,Muscle injury,under 1 year old,0
3509,Muscle injury,1 to 13 years old,0
3510,Muscle injury,13 to 18 years old,0
3511,Muscle injury,18 to 40,0
3512,Muscle injury,18 to 65 years old,1
3513,Muscle injury,over 65 years old,0
3514,Musculoskeletal stiffness,Unknown Age,7
3515,Musculoskeletal stiffness,under 1 year old,0
3516,Musculoskeletal stiffness,1 to 13 years old,0
3517,Musculoskeletal stiffness,13 to 18 years old,0
3518,Musculoskeletal stiffness,18 to 40,3
3519,Musculoskeletal stiffness,18 to 65 years old,5
3520,Musculoskeletal stiffness,over 65 years old,3
3521,Pemphigus,Unknown Age,2
3522,Pemphigus,under 1 year old,0
3523,Pemphigus,1 to 13 years old,0
3524,Pemphigus,13 to 18 years old,0
3525,Pemphigus,18 to 40,0
3526,Pemphigus,18 to 65 years old,7
3527,Pemphigus,over 65 years old,0
3528,Pericarditis,Unknown Age,2
3529,Pericarditis,under 1 year old,0
3530,Pericarditis,1 to 13 years old,0
3531,Pericarditis,13 to 18 years old,0
3532,Pericarditis,18 to 40,0
3533,Pericarditis,18 to 65 years old,5
3534,Pericarditis,over 65 years old,0
3535,Peripheral swelling,Unknown Age,8
3536,Peripheral swelling,under 1 year old,0
3537,Peripheral swelling,1 to 13 years old,1
3538,Peripheral swelling,13 to 18 years old,2
3539,Peripheral swelling,18 to 40,0
3540,Peripheral swelling,18 to 65 years old,12
3541,Peripheral swelling,over 65 years old,5
3542,Rash,Unknown Age,18
3543,Rash,under 1 year old,1
3544,Rash,1 to 13 years old,1
3545,Rash,13 to 18 years old,1
3546,Rash,18 to 40,12
3547,Rash,18 to 65 years old,14
3548,Rash,over 65 years old,13
3549,Rheumatoid factor positive,Unknown Age,2
3550,Rheumatoid factor positive,under 1 year old,0
3551,Rheumatoid factor positive,1 to 13 years old,0
3552,Rheumatoid factor positive,13 to 18 years old,0
3553,Rheumatoid factor positive,18 to 40,0
3554,Rheumatoid factor positive,18 to 65 years old,5
3555,Rheumatoid factor positive,over 65 years old,0
3556,Road traffic accident,Unknown Age,0
3557,Road traffic accident,under 1 year old,0
3558,Road traffic accident,1 to 13 years old,0
3559,Road traffic accident,13 to 18 years old,0
3560,Road traffic accident,18 to 40,1
3561,Road traffic accident,18 to 65 years old,1
3562,Road traffic accident,over 65 years old,1
3563,"Sleep disorder due to general medical condition, insomnia type",Unknown Age,2
3564,"Sleep disorder due to general medical condition, insomnia type",under 1 year old,0
3565,"Sleep disorder due to general medical condition, insomnia type",1 to 13 years old,0
3566,"Sleep disorder due to general medical condition, insomnia type",13 to 18 years old,0
3567,"Sleep disorder due to general medical condition, insomnia type",18 to 40,0
3568,"Sleep disorder due to general medical condition, insomnia type",18 to 65 years old,1
3569,"Sleep disorder due to general medical condition, insomnia type",over 65 years old,0
3570,Stomatitis,Unknown Age,2
3571,Stomatitis,under 1 year old,0
3572,Stomatitis,1 to 13 years old,1
3573,Stomatitis,13 to 18 years old,1
3574,Stomatitis,18 to 40,0
3575,Stomatitis,18 to 65 years old,3
3576,Stomatitis,over 65 years old,2
3577,Synovitis,Unknown Age,2
3578,Synovitis,under 1 year old,0
3579,Synovitis,1 to 13 years old,0
3580,Synovitis,13 to 18 years old,0
3581,Synovitis,18 to 40,0
3582,Synovitis,18 to 65 years old,5
3583,Synovitis,over 65 years old,0
3584,Systemic lupus erythematosus,Unknown Age,2
3585,Systemic lupus erythematosus,under 1 year old,0
3586,Systemic lupus erythematosus,1 to 13 years old,0
3587,Systemic lupus erythematosus,13 to 18 years old,0
3588,Systemic lupus erythematosus,18 to 40,3
3589,Systemic lupus erythematosus,18 to 65 years old,5
3590,Systemic lupus erythematosus,over 65 years old,0
3591,Treatment failure,Unknown Age,2
3592,Treatment failure,under 1 year old,1
3593,Treatment failure,1 to 13 years old,0
3594,Treatment failure,13 to 18 years old,0
3595,Treatment failure,18 to 40,2
3596,Treatment failure,18 to 65 years old,6
3597,Treatment failure,over 65 years old,0
3598,Weight increased,Unknown Age,3
3599,Weight increased,under 1 year old,0
3600,Weight increased,1 to 13 years old,0
3601,Weight increased,13 to 18 years old,0
3602,Weight increased,18 to 40,1
3603,Weight increased,18 to 65 years old,5
3604,Weight increased,over 65 years old,4
3605,Wound,Unknown Age,2
3606,Wound,under 1 year old,0
3607,Wound,1 to 13 years old,0
3608,Wound,13 to 18 years old,0
3609,Wound,18 to 40,0
3610,Wound,18 to 65 years old,5
3611,Wound,over 65 years old,0
3612,Fixed eruption,Unknown Age,0
3613,Fixed eruption,under 1 year old,0
3614,Fixed eruption,1 to 13 years old,0
3615,Fixed eruption,13 to 18 years old,0
3616,Fixed eruption,18 to 40,0
3617,Fixed eruption,18 to 65 years old,11
3618,Fixed eruption,over 65 years old,10
3619,Generalised bullous fixed drug eruption,Unknown Age,2
3620,Generalised bullous fixed drug eruption,under 1 year old,0
3621,Generalised bullous fixed drug eruption,1 to 13 years old,0
3622,Generalised bullous fixed drug eruption,13 to 18 years old,0
3623,Generalised bullous fixed drug eruption,18 to 40,1
3624,Generalised bullous fixed drug eruption,18 to 65 years old,1
3625,Generalised bullous fixed drug eruption,over 65 years old,12
3626,Medication error,Unknown Age,5
3627,Medication error,under 1 year old,0
3628,Medication error,1 to 13 years old,3
3629,Medication error,13 to 18 years old,2
3630,Medication error,18 to 40,11
3631,Medication error,18 to 65 years old,44
3632,Medication error,over 65 years old,48
3633,Clonus,Unknown Age,0
3634,Clonus,under 1 year old,0
3635,Clonus,1 to 13 years old,0
3636,Clonus,13 to 18 years old,1
3637,Clonus,18 to 40,1
3638,Clonus,18 to 65 years old,6
3639,Clonus,over 65 years old,0
3640,Hypersomnia,Unknown Age,1
3641,Hypersomnia,under 1 year old,0
3642,Hypersomnia,1 to 13 years old,0
3643,Hypersomnia,13 to 18 years old,0
3644,Hypersomnia,18 to 40,1
3645,Hypersomnia,18 to 65 years old,2
3646,Hypersomnia,over 65 years old,2
3647,Labelled drug-drug interaction medication error,Unknown Age,2
3648,Labelled drug-drug interaction medication error,under 1 year old,0
3649,Labelled drug-drug interaction medication error,1 to 13 years old,0
3650,Labelled drug-drug interaction medication error,13 to 18 years old,0
3651,Labelled drug-drug interaction medication error,18 to 40,5
3652,Labelled drug-drug interaction medication error,18 to 65 years old,0
3653,Labelled drug-drug interaction medication error,over 65 years old,3
3654,Respiratory rate increased,Unknown Age,0
3655,Respiratory rate increased,under 1 year old,0
3656,Respiratory rate increased,1 to 13 years old,0
3657,Respiratory rate increased,13 to 18 years old,1
3658,Respiratory rate increased,18 to 40,1
3659,Respiratory rate increased,18 to 65 years old,0
3660,Respiratory rate increased,over 65 years old,0
3661,Restless legs syndrome,Unknown Age,1
3662,Restless legs syndrome,under 1 year old,0
3663,Restless legs syndrome,1 to 13 years old,0
3664,Restless legs syndrome,13 to 18 years old,0
3665,Restless legs syndrome,18 to 40,1
3666,Restless legs syndrome,18 to 65 years old,1
3667,Restless legs syndrome,over 65 years old,0
3668,Restlessness,Unknown Age,0
3669,Restlessness,under 1 year old,0
3670,Restlessness,1 to 13 years old,6
3671,Restlessness,13 to 18 years old,0
3672,Restlessness,18 to 40,1
3673,Restlessness,18 to 65 years old,0
3674,Restlessness,over 65 years old,2
3675,Sedation,Unknown Age,3
3676,Sedation,under 1 year old,0
3677,Sedation,1 to 13 years old,0
3678,Sedation,13 to 18 years old,0
3679,Sedation,18 to 40,1
3680,Sedation,18 to 65 years old,2
3681,Sedation,over 65 years old,4
3682,Serotonin syndrome,Unknown Age,2
3683,Serotonin syndrome,under 1 year old,0
3684,Serotonin syndrome,1 to 13 years old,0
3685,Serotonin syndrome,13 to 18 years old,1
3686,Serotonin syndrome,18 to 40,2
3687,Serotonin syndrome,18 to 65 years old,0
3688,Serotonin syndrome,over 65 years old,2
3689,Cardiac failure,Unknown Age,1
3690,Cardiac failure,under 1 year old,0
3691,Cardiac failure,1 to 13 years old,0
3692,Cardiac failure,13 to 18 years old,0
3693,Cardiac failure,18 to 40,0
3694,Cardiac failure,18 to 65 years old,0
3695,Cardiac failure,over 65 years old,4
3696,Glutathione synthetase deficiency,Unknown Age,0
3697,Glutathione synthetase deficiency,under 1 year old,0
3698,Glutathione synthetase deficiency,1 to 13 years old,0
3699,Glutathione synthetase deficiency,13 to 18 years old,0
3700,Glutathione synthetase deficiency,18 to 40,0
3701,Glutathione synthetase deficiency,18 to 65 years old,0
3702,Glutathione synthetase deficiency,over 65 years old,1
3703,Pneumonia aspiration,Unknown Age,0
3704,Pneumonia aspiration,under 1 year old,0
3705,Pneumonia aspiration,1 to 13 years old,0
3706,Pneumonia aspiration,13 to 18 years old,0
3707,Pneumonia aspiration,18 to 40,1
3708,Pneumonia aspiration,18 to 65 years old,5
3709,Pneumonia aspiration,over 65 years old,1
3710,Pyroglutamic acidosis,Unknown Age,3
3711,Pyroglutamic acidosis,under 1 year old,0
3712,Pyroglutamic acidosis,1 to 13 years old,0
3713,Pyroglutamic acidosis,13 to 18 years old,0
3714,Pyroglutamic acidosis,18 to 40,2
3715,Pyroglutamic acidosis,18 to 65 years old,17
3716,Pyroglutamic acidosis,over 65 years old,21
3717,Blood pH increased,Unknown Age,1
3718,Blood pH increased,under 1 year old,0
3719,Blood pH increased,1 to 13 years old,0
3720,Blood pH increased,13 to 18 years old,0
3721,Blood pH increased,18 to 40,0
3722,Blood pH increased,18 to 65 years old,0
3723,Blood pH increased,over 65 years old,0
3724,Bronchitis,Unknown Age,1
3725,Bronchitis,under 1 year old,0
3726,Bronchitis,1 to 13 years old,0
3727,Bronchitis,13 to 18 years old,0
3728,Bronchitis,18 to 40,0
3729,Bronchitis,18 to 65 years old,3
3730,Bronchitis,over 65 years old,5
3731,Feeling abnormal,Unknown Age,18
3732,Feeling abnormal,under 1 year old,0
3733,Feeling abnormal,1 to 13 years old,0
3734,Feeling abnormal,13 to 18 years old,0
3735,Feeling abnormal,18 to 40,1
3736,Feeling abnormal,18 to 65 years old,15
3737,Feeling abnormal,over 65 years old,5
3738,Injection site pain,Unknown Age,1
3739,Injection site pain,under 1 year old,0
3740,Injection site pain,1 to 13 years old,0
3741,Injection site pain,13 to 18 years old,0
3742,Injection site pain,18 to 40,1
3743,Injection site pain,18 to 65 years old,0
3744,Injection site pain,over 65 years old,0
3745,Injection site paraesthesia,Unknown Age,1
3746,Injection site paraesthesia,under 1 year old,0
3747,Injection site paraesthesia,1 to 13 years old,0
3748,Injection site paraesthesia,13 to 18 years old,0
3749,Injection site paraesthesia,18 to 40,0
3750,Injection site paraesthesia,18 to 65 years old,0
3751,Injection site paraesthesia,over 65 years old,0
3752,Lacrimation increased,Unknown Age,1
3753,Lacrimation increased,under 1 year old,0
3754,Lacrimation increased,1 to 13 years old,0
3755,Lacrimation increased,13 to 18 years old,0
3756,Lacrimation increased,18 to 40,0
3757,Lacrimation increased,18 to 65 years old,0
3758,Lacrimation increased,over 65 years old,0
3759,Monocyte count decreased,Unknown Age,1
3760,Monocyte count decreased,under 1 year old,0
3761,Monocyte count decreased,1 to 13 years old,0
3762,Monocyte count decreased,13 to 18 years old,0
3763,Monocyte count decreased,18 to 40,1
3764,Monocyte count decreased,18 to 65 years old,0
3765,Monocyte count decreased,over 65 years old,0
3766,Oropharyngeal discomfort,Unknown Age,2
3767,Oropharyngeal discomfort,under 1 year old,0
3768,Oropharyngeal discomfort,1 to 13 years old,0
3769,Oropharyngeal discomfort,13 to 18 years old,0
3770,Oropharyngeal discomfort,18 to 40,7
3771,Oropharyngeal discomfort,18 to 65 years old,0
3772,Oropharyngeal discomfort,over 65 years old,3
3773,Respiration abnormal,Unknown Age,1
3774,Respiration abnormal,under 1 year old,0
3775,Respiration abnormal,1 to 13 years old,0
3776,Respiration abnormal,13 to 18 years old,0
3777,Respiration abnormal,18 to 40,0
3778,Respiration abnormal,18 to 65 years old,2
3779,Respiration abnormal,over 65 years old,0
3780,Secretion discharge,Unknown Age,2
3781,Secretion discharge,under 1 year old,0
3782,Secretion discharge,1 to 13 years old,0
3783,Secretion discharge,13 to 18 years old,0
3784,Secretion discharge,18 to 40,0
3785,Secretion discharge,18 to 65 years old,0
3786,Secretion discharge,over 65 years old,1
3787,Inadequate analgesia,Unknown Age,2
3788,Inadequate analgesia,under 1 year old,0
3789,Inadequate analgesia,1 to 13 years old,0
3790,Inadequate analgesia,13 to 18 years old,0
3791,Inadequate analgesia,18 to 40,0
3792,Inadequate analgesia,18 to 65 years old,1
3793,Inadequate analgesia,over 65 years old,0
3794,Visual impairment,Unknown Age,2
3795,Visual impairment,under 1 year old,0
3796,Visual impairment,1 to 13 years old,2
3797,Visual impairment,13 to 18 years old,1
3798,Visual impairment,18 to 40,2
3799,Visual impairment,18 to 65 years old,0
3800,Visual impairment,over 65 years old,0
3801,Death neonatal,Unknown Age,2
3802,Death neonatal,under 1 year old,0
3803,Death neonatal,1 to 13 years old,0
3804,Death neonatal,13 to 18 years old,0
3805,Death neonatal,18 to 40,0
3806,Death neonatal,18 to 65 years old,0
3807,Death neonatal,over 65 years old,0
3808,Adverse drug reaction,Unknown Age,8
3809,Adverse drug reaction,under 1 year old,1
3810,Adverse drug reaction,1 to 13 years old,0
3811,Adverse drug reaction,13 to 18 years old,1
3812,Adverse drug reaction,18 to 40,5
3813,Adverse drug reaction,18 to 65 years old,16
3814,Adverse drug reaction,over 65 years old,14
3815,Adverse event,Unknown Age,31
3816,Adverse event,under 1 year old,1
3817,Adverse event,1 to 13 years old,0
3818,Adverse event,13 to 18 years old,0
3819,Adverse event,18 to 40,0
3820,Adverse event,18 to 65 years old,1
3821,Adverse event,over 65 years old,2
3822,Fibromyalgia,Unknown Age,2
3823,Fibromyalgia,under 1 year old,0
3824,Fibromyalgia,1 to 13 years old,0
3825,Fibromyalgia,13 to 18 years old,0
3826,Fibromyalgia,18 to 40,1
3827,Fibromyalgia,18 to 65 years old,4
3828,Fibromyalgia,over 65 years old,1
3829,Hip arthroplasty,Unknown Age,1
3830,Hip arthroplasty,under 1 year old,0
3831,Hip arthroplasty,1 to 13 years old,0
3832,Hip arthroplasty,13 to 18 years old,0
3833,Hip arthroplasty,18 to 40,0
3834,Hip arthroplasty,18 to 65 years old,2
3835,Hip arthroplasty,over 65 years old,0
3836,Injury,Unknown Age,3
3837,Injury,under 1 year old,1
3838,Injury,1 to 13 years old,0
3839,Injury,13 to 18 years old,0
3840,Injury,18 to 40,1
3841,Injury,18 to 65 years old,4
3842,Injury,over 65 years old,0
3843,Oedema,Unknown Age,15
3844,Oedema,under 1 year old,0
3845,Oedema,1 to 13 years old,0
3846,Oedema,13 to 18 years old,0
3847,Oedema,18 to 40,0
3848,Oedema,18 to 65 years old,3
3849,Oedema,over 65 years old,2
3850,Bradyarrhythmia,Unknown Age,0
3851,Bradyarrhythmia,under 1 year old,0
3852,Bradyarrhythmia,1 to 13 years old,0
3853,Bradyarrhythmia,13 to 18 years old,0
3854,Bradyarrhythmia,18 to 40,0
3855,Bradyarrhythmia,18 to 65 years old,1
3856,Bradyarrhythmia,over 65 years old,0
3857,Cardiovascular disorder,Unknown Age,1
3858,Cardiovascular disorder,under 1 year old,0
3859,Cardiovascular disorder,1 to 13 years old,0
3860,Cardiovascular disorder,13 to 18 years old,0
3861,Cardiovascular disorder,18 to 40,1
3862,Cardiovascular disorder,18 to 65 years old,1
3863,Cardiovascular disorder,over 65 years old,0
3864,Electrocardiogram QRS complex prolonged,Unknown Age,0
3865,Electrocardiogram QRS complex prolonged,under 1 year old,0
3866,Electrocardiogram QRS complex prolonged,1 to 13 years old,0
3867,Electrocardiogram QRS complex prolonged,13 to 18 years old,0
3868,Electrocardiogram QRS complex prolonged,18 to 40,4
3869,Electrocardiogram QRS complex prolonged,18 to 65 years old,5
3870,Electrocardiogram QRS complex prolonged,over 65 years old,4
3871,Hypothermia,Unknown Age,1
3872,Hypothermia,under 1 year old,0
3873,Hypothermia,1 to 13 years old,7
3874,Hypothermia,13 to 18 years old,0
3875,Hypothermia,18 to 40,1
3876,Hypothermia,18 to 65 years old,2
3877,Hypothermia,over 65 years old,3
3878,Poisoning,Unknown Age,0
3879,Poisoning,under 1 year old,0
3880,Poisoning,1 to 13 years old,0
3881,Poisoning,13 to 18 years old,0
3882,Poisoning,18 to 40,4
3883,Poisoning,18 to 65 years old,10
3884,Poisoning,over 65 years old,0
3885,Hyponatraemia,Unknown Age,2
3886,Hyponatraemia,under 1 year old,0
3887,Hyponatraemia,1 to 13 years old,0
3888,Hyponatraemia,13 to 18 years old,0
3889,Hyponatraemia,18 to 40,2
3890,Hyponatraemia,18 to 65 years old,0
3891,Hyponatraemia,over 65 years old,13
3892,Product prescribing error,Unknown Age,3
3893,Product prescribing error,under 1 year old,0
3894,Product prescribing error,1 to 13 years old,2
3895,Product prescribing error,13 to 18 years old,0
3896,Product prescribing error,18 to 40,0
3897,Product prescribing error,18 to 65 years old,0
3898,Product prescribing error,over 65 years old,4
3899,Electroencephalogram abnormal,Unknown Age,1
3900,Electroencephalogram abnormal,under 1 year old,0
3901,Electroencephalogram abnormal,1 to 13 years old,0
3902,Electroencephalogram abnormal,13 to 18 years old,0
3903,Electroencephalogram abnormal,18 to 40,0
3904,Electroencephalogram abnormal,18 to 65 years old,0
3905,Electroencephalogram abnormal,over 65 years old,0
3906,Procedural haemorrhage,Unknown Age,1
3907,Procedural haemorrhage,under 1 year old,0
3908,Procedural haemorrhage,1 to 13 years old,0
3909,Procedural haemorrhage,13 to 18 years old,0
3910,Procedural haemorrhage,18 to 40,0
3911,Procedural haemorrhage,18 to 65 years old,0
3912,Procedural haemorrhage,over 65 years old,0
3913,Pulmonary haemorrhage,Unknown Age,1
3914,Pulmonary haemorrhage,under 1 year old,0
3915,Pulmonary haemorrhage,1 to 13 years old,0
3916,Pulmonary haemorrhage,13 to 18 years old,0
3917,Pulmonary haemorrhage,18 to 40,8
3918,Pulmonary haemorrhage,18 to 65 years old,3
3919,Pulmonary haemorrhage,over 65 years old,0
3920,Hypotensive crisis,Unknown Age,0
3921,Hypotensive crisis,under 1 year old,0
3922,Hypotensive crisis,1 to 13 years old,0
3923,Hypotensive crisis,13 to 18 years old,0
3924,Hypotensive crisis,18 to 40,0
3925,Hypotensive crisis,18 to 65 years old,5
3926,Hypotensive crisis,over 65 years old,0
3927,Liver injury,Unknown Age,16
3928,Liver injury,under 1 year old,1
3929,Liver injury,1 to 13 years old,1
3930,Liver injury,13 to 18 years old,0
3931,Liver injury,18 to 40,5
3932,Liver injury,18 to 65 years old,8
3933,Liver injury,over 65 years old,1
3934,Cholestasis,Unknown Age,0
3935,Cholestasis,under 1 year old,0
3936,Cholestasis,1 to 13 years old,0
3937,Cholestasis,13 to 18 years old,0
3938,Cholestasis,18 to 40,0
3939,Cholestasis,18 to 65 years old,11
3940,Cholestasis,over 65 years old,10
3941,Transaminases increased,Unknown Age,2
3942,Transaminases increased,under 1 year old,0
3943,Transaminases increased,1 to 13 years old,2
3944,Transaminases increased,13 to 18 years old,6
3945,Transaminases increased,18 to 40,6
3946,Transaminases increased,18 to 65 years old,6
3947,Transaminases increased,over 65 years old,2
3948,Chills,Unknown Age,8
3949,Chills,under 1 year old,0
3950,Chills,1 to 13 years old,4
3951,Chills,13 to 18 years old,0
3952,Chills,18 to 40,7
3953,Chills,18 to 65 years old,1
3954,Chills,over 65 years old,15
3955,Cholestatic liver injury,Unknown Age,0
3956,Cholestatic liver injury,under 1 year old,0
3957,Cholestatic liver injury,1 to 13 years old,0
3958,Cholestatic liver injury,13 to 18 years old,0
3959,Cholestatic liver injury,18 to 40,0
3960,Cholestatic liver injury,18 to 65 years old,2
3961,Cholestatic liver injury,over 65 years old,7
3962,Anaphylactic reaction,Unknown Age,11
3963,Anaphylactic reaction,under 1 year old,0
3964,Anaphylactic reaction,1 to 13 years old,1
3965,Anaphylactic reaction,13 to 18 years old,6
3966,Anaphylactic reaction,18 to 40,7
3967,Anaphylactic reaction,18 to 65 years old,14
3968,Anaphylactic reaction,over 65 years old,6
3969,Colitis ischaemic,Unknown Age,0
3970,Colitis ischaemic,under 1 year old,0
3971,Colitis ischaemic,1 to 13 years old,0
3972,Colitis ischaemic,13 to 18 years old,0
3973,Colitis ischaemic,18 to 40,0
3974,Colitis ischaemic,18 to 65 years old,1
3975,Colitis ischaemic,over 65 years old,0
3976,Syncope,Unknown Age,5
3977,Syncope,under 1 year old,0
3978,Syncope,1 to 13 years old,0
3979,Syncope,13 to 18 years old,0
3980,Syncope,18 to 40,3
3981,Syncope,18 to 65 years old,1
3982,Syncope,over 65 years old,7
3983,Circulatory collapse,Unknown Age,0
3984,Circulatory collapse,under 1 year old,0
3985,Circulatory collapse,1 to 13 years old,0
3986,Circulatory collapse,13 to 18 years old,3
3987,Circulatory collapse,18 to 40,2
3988,Circulatory collapse,18 to 65 years old,2
3989,Circulatory collapse,over 65 years old,2
3990,Dysgeusia,Unknown Age,1
3991,Dysgeusia,under 1 year old,0
3992,Dysgeusia,1 to 13 years old,0
3993,Dysgeusia,13 to 18 years old,0
3994,Dysgeusia,18 to 40,0
3995,Dysgeusia,18 to 65 years old,5
3996,Dysgeusia,over 65 years old,1
3997,Pancreatic injury,Unknown Age,1
3998,Pancreatic injury,under 1 year old,0
3999,Pancreatic injury,1 to 13 years old,0
4000,Pancreatic injury,13 to 18 years old,0
4001,Pancreatic injury,18 to 40,0
4002,Pancreatic injury,18 to 65 years old,0
4003,Pancreatic injury,over 65 years old,0
4004,Product label issue,Unknown Age,6
4005,Product label issue,under 1 year old,0
4006,Product label issue,1 to 13 years old,1
4007,Product label issue,13 to 18 years old,0
4008,Product label issue,18 to 40,0
4009,Product label issue,18 to 65 years old,0
4010,Product label issue,over 65 years old,3
4011,Emphysema,Unknown Age,0
4012,Emphysema,under 1 year old,0
4013,Emphysema,1 to 13 years old,2
4014,Emphysema,13 to 18 years old,0
4015,Emphysema,18 to 40,0
4016,Emphysema,18 to 65 years old,0
4017,Emphysema,over 65 years old,0
4018,Homicide,Unknown Age,0
4019,Homicide,under 1 year old,0
4020,Homicide,1 to 13 years old,2
4021,Homicide,13 to 18 years old,0
4022,Homicide,18 to 40,0
4023,Homicide,18 to 65 years old,0
4024,Homicide,over 65 years old,0
4025,Victim of homicide,Unknown Age,0
4026,Victim of homicide,under 1 year old,0
4027,Victim of homicide,1 to 13 years old,2
4028,Victim of homicide,13 to 18 years old,0
4029,Victim of homicide,18 to 40,0
4030,Victim of homicide,18 to 65 years old,0
4031,Victim of homicide,over 65 years old,0
4032,Normochromic normocytic anaemia,Unknown Age,0
4033,Normochromic normocytic anaemia,under 1 year old,0
4034,Normochromic normocytic anaemia,1 to 13 years old,0
4035,Normochromic normocytic anaemia,13 to 18 years old,0
4036,Normochromic normocytic anaemia,18 to 40,0
4037,Normochromic normocytic anaemia,18 to 65 years old,1
4038,Normochromic normocytic anaemia,over 65 years old,0
4039,Supraventricular tachycardia,Unknown Age,1
